[Instrument settings]
Instrument type = "CryoFMR-40"
DAQ serial number = "01EA6AD6"
SW version = "2.6.0.3"
AC Output = "0"
AC Field Frequency = "490.000000"
Hall.Sensor Range = "0"
Hall.ADC # Samples = "10"
Hall.ADC Rate = "100.000000"
FMR.RF Diode  = "RF Detector"
FMR.Coupling = "0"
FMR.Notch = "1"
FMR.Notch x2 = "1"
FMR.Bandpass = "1"
Signal.Signal fitting = "Derivated Lorentz."
SweepMode = "Field"
RF.Lvl.Comp = "FALSE"

[QD]
Instrument Type = "DynaCool"
IP Address = "127.0.0.1"
Drive.Mode = "Driven"
Drive.Approach = "Linear"
Drive.Rate = "500.000000"
Correction name = "No Correction"
[Sweep settings]
Frequency(GHz)	Field Saturation (Oe)	Field Start (Oe)	Field Stop (Oe)	Field Step (Oe)	Input gain	Output gain	Modul. Ampl.	FMR ADC # of Samples	FMR ADC Rate	Temp
6	10000	9000	0	10	x100	x100	0.3	100	1000	300
8	10000	9000	0	10	x100	x100	0.3	100	1000	300
10	10000	9000	0	10	x100	x100	0.3	100	1000	300
12	10000	9000	0	10	x100	x100	0.3	100	1000	300
14	10000	9000	0	10	x100	x100	0.3	100	1000	300
16	10000	9000	0	10	x100	x100	0.3	100	1000	300
18	10000	9000	0	10	x100	x100	0.3	100	1000	300
20	10000	9000	0	10	x100	x100	0.3	100	1000	300
22	10000	9000	0	10	x100	x100	0.3	100	1000	300

[Data]
Frequency	Field	I	Q	IQ	IQ fit	Aux	Temp
6.000000	6530.328613	0.032711	0.027437	0.001672	-0.000020	10.460020	300.625793
6.000000	6520.193848	0.036906	0.024949	0.003847	-0.000020	10.459955	300.625000
6.000000	6510.257324	0.032507	0.023643	-0.000558	-0.000020	10.460047	300.625397
6.000000	6500.204102	0.032267	0.025014	-0.000018	-0.000020	10.460063	300.625793
6.000000	6490.267090	0.030672	0.025340	-0.001184	-0.000020	10.460060	300.625000
6.000000	6480.249023	0.033158	0.022598	-0.000582	-0.000020	10.459951	300.627167
6.000000	6470.439941	0.031626	0.022605	-0.001868	-0.000020	10.460047	300.625977
6.000000	6460.386719	0.034045	0.025162	0.001550	-0.000020	10.460126	300.626190
6.000000	6450.450195	0.035959	0.025853	0.003531	-0.000020	10.459981	300.626190
6.000000	6440.455078	0.030255	0.024936	-0.001762	-0.000020	10.460103	300.625000
6.000000	6430.495605	0.034650	0.018801	-0.001394	-0.000021	10.460106	300.625977
6.000000	6420.163086	0.034144	0.025120	0.001604	-0.000021	10.460057	300.625977
6.000000	6410.167969	0.032652	0.024262	-0.000117	-0.000021	10.459915	300.625977
6.000000	6400.219238	0.031994	0.029190	0.001999	-0.000021	10.460001	300.625977
6.000000	6390.236328	0.032625	0.026034	0.000818	-0.000021	10.460027	300.624603
6.000000	6380.369141	0.034374	0.026796	0.002699	-0.000021	10.459968	300.626190
6.000000	6370.386230	0.030817	0.022641	-0.002544	-0.000021	10.459846	300.625977
6.000000	6360.391113	0.036261	0.024482	0.003028	-0.000021	10.459928	300.624603
6.000000	6350.431641	0.029449	0.024975	-0.002431	-0.000021	10.460030	300.624603
6.000000	6340.424316	0.034095	0.026152	0.002109	-0.000021	10.459915	300.626190
6.000000	6330.476562	0.038162	0.018899	0.001594	-0.000021	10.459958	300.624786
6.000000	6320.190430	0.033697	0.022292	-0.000320	-0.000022	10.459925	300.625977
6.000000	6310.229980	0.027332	0.020872	-0.006441	-0.000022	10.459751	300.626190
6.000000	6300.176758	0.033286	0.017821	-0.003092	-0.000022	10.459909	300.626190
6.000000	6290.239746	0.027079	0.022562	-0.005741	-0.000022	10.459879	300.626190
6.000000	6280.385254	0.030215	0.024104	-0.002271	-0.000022	10.459797	300.625397
6.000000	6270.401855	0.029614	0.024594	-0.002512	-0.000022	10.459945	300.625977
6.000000	6260.453613	0.032783	0.022358	-0.001062	-0.000022	10.459882	300.626190
